Data Set 2:Time(s),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm
0.00,8.953220,8.192676,3.348713
0.05,8.953220,8.192676,3.348713
0.10,8.787420,7.982607,4.837030
0.15,8.787420,7.982607,4.837030
0.20,8.455818,7.562469,4.092870
0.25,8.455818,7.562469,4.092870
0.30,7.792617,7.772538,4.464949
0.35,7.792617,7.772538,4.464949
0.40,8.787420,7.982607,4.837030
0.45,8.787420,7.982607,4.837030
0.50,8.290018,8.402744,3.720792
0.55,8.290018,8.402744,3.720792
0.60,7.792617,7.772538,4.464949
0.65,7.792617,7.772538,4.464949
0.70,8.290018,8.402744,3.720792
0.75,8.290018,8.402744,3.720792
0.80,8.787420,7.982607,4.837030
0.85,8.787420,7.982607,4.837030
0.90,8.455818,7.562469,4.092870
0.95,8.455818,7.562469,4.092870
1.00,7.792617,7.772538,4.464949
1.05,7.792617,7.772538,4.464949
1.10,8.787420,7.982607,4.837030
1.15,8.787420,7.982607,4.837030
1.20,8.290018,8.402744,3.720792
1.25,8.290018,8.402744,3.720792
1.30,7.792617,7.772538,4.464949
1.35,7.792617,7.772538,4.464949
1.40,8.290018,8.402744,3.720792
1.45,8.290018,8.402744,3.720792
1.50,8.787420,7.982607,4.837030
1.55,8.787420,7.982607,4.837030
1.60,7.792617,7.772538,4.464949
1.65,7.792617,7.772538,4.464949
1.70,8.455818,7.562469,4.092870
1.75,8.455818,7.562469,4.092870
1.80,8.787420,7.982607,4.837030
1.85,8.787420,7.982607,4.837030
1.90,8.455818,7.562469,4.092870
1.95,8.455818,7.562469,4.092870
2.00,7.792617,7.772538,4.464949
2.05,7.792617,7.772538,4.464949
2.10,8.953220,8.192676,3.348713
2.15,8.953220,8.192676,3.348713
2.20,8.787420,7.982607,4.837030
2.25,8.787420,7.982607,4.837030
2.30,7.792617,7.772538,4.464949
2.35,7.792617,7.772538,4.464949
2.40,8.455818,7.562469,4.092870
2.45,8.455818,7.562469,4.092870
2.50,8.787420,7.982607,4.837030
2.55,8.787420,7.982607,4.837030
2.60,8.455818,7.562469,4.092870
2.65,8.455818,7.562469,4.092870
2.70,8.455818,7.562469,4.092870
2.75,8.455818,7.562469,4.092870
2.80,8.787420,7.982607,4.837030
2.85,8.787420,7.982607,4.837030
2.90,8.290018,8.402744,3.720792
2.95,8.290018,8.402744,3.720792
3.00,7.792617,7.772538,4.464949
3.05,7.792617,7.772538,4.464949
3.10,8.290018,8.402744,3.720792
3.15,8.290018,8.402744,3.720792
3.20,8.787420,7.982607,4.837030
3.25,8.787420,7.982607,4.837030
3.30,8.455818,7.562469,4.092870
3.35,8.455818,7.562469,4.092870
3.40,8.455818,7.562469,4.092870
3.45,8.455818,7.562469,4.092870
3.50,8.787420,7.982607,4.837030
3.55,8.787420,7.982607,4.837030
3.60,8.290018,8.402744,3.720792
3.65,8.290018,8.402744,3.720792
3.70,7.792617,7.772538,4.464949
3.75,7.792617,7.772538,4.464949
3.80,8.787420,7.982607,4.837030
3.85,8.787420,7.982607,4.837030
3.90,8.953220,8.192676,3.348713
3.95,8.953220,8.192676,3.348713
4.00,7.792617,7.772538,4.464949
4.05,7.792617,7.772538,4.464949
4.10,8.455818,7.562469,4.092870
4.15,8.455818,7.562469,4.092870
4.20,8.787420,7.982607,4.837030
4.25,8.787420,7.982607,4.837030
4.30,8.455818,7.562469,4.092870
4.35,8.455818,7.562469,4.092870
4.40,7.792617,7.772538,4.464949
4.45,7.792617,7.772538,4.464949
4.50,8.787420,7.982607,4.837030
4.55,8.787420,7.982607,4.837030
4.60,8.290018,8.402744,3.720792
4.65,8.290018,8.402744,3.720792
4.70,7.792617,7.772538,4.464949
4.75,7.792617,7.772538,4.464949
4.80,8.621619,7.772538,2.604553
4.85,8.621619,7.772538,2.604553
4.90,8.787420,6.932264,2.976634
4.95,8.787420,6.932264,2.976634
5.00,7.461017,7.352401,3.720792
5.05,7.461017,7.352401,3.720792
5.10,7.958418,13.234323,8.557821
5.15,7.958418,13.234323,8.557821
5.20,14.922033,22.057203,16.743563
5.25,14.922033,22.057203,16.743563
5.30,25.201658,30.880087,24.929306
5.35,25.201658,30.880087,24.929306
5.40,39.294689,41.383518,34.231285
5.45,39.294689,41.383518,34.231285
5.50,37.139282,41.803654,33.115044
5.55,37.139282,41.803654,33.115044
5.60,27.357061,32.560635,26.045542
5.65,27.357061,32.560635,26.045542
5.70,31.004671,36.131802,28.650099
5.75,31.004671,36.131802,28.650099
5.80,30.507267,35.501595,29.394253
5.85,30.507267,35.501595,29.394253
5.90,31.999470,37.392212,30.882566
5.95,31.999470,37.392212,30.882566
6.00,25.864859,30.670017,24.557226
6.05,25.864859,30.670017,24.557226
6.10,28.683462,33.190838,27.161776
6.15,28.683462,33.190838,27.161776
6.20,29.512465,34.241180,27.161776
6.25,29.512465,34.241180,27.161776
6.30,25.864859,30.670017,24.557226
6.35,25.864859,30.670017,24.557226
6.40,25.201658,30.880087,24.929306
6.45,25.201658,30.880087,24.929306
6.50,27.688663,35.081459,26.789701
6.55,27.688663,35.081459,26.789701
6.60,29.512465,37.392212,29.022171
6.65,29.512465,37.392212,29.022171
6.70,28.351864,35.921734,28.278017
6.75,28.351864,35.921734,28.278017
6.80,15.253633,20.376654,13.766928
6.85,15.253633,20.376654,13.766928
6.90,13.595630,13.024253,8.185740
6.95,13.595630,13.024253,8.185740
7.00,12.269227,11.343705,5.209108
7.05,12.269227,11.343705,5.209108
7.10,10.611224,8.192676,3.348713
7.15,10.611224,8.192676,3.348713
7.20,11.771827,14.914872,9.674060
7.25,11.771827,14.914872,9.674060
7.30,22.714651,30.880087,23.068911
7.35,22.714651,30.880087,23.068911
7.40,22.383049,30.459948,22.324749
7.45,22.383049,30.459948,22.324749
7.50,12.766628,17.225626,10.046137
7.55,12.766628,17.225626,10.046137
7.60,11.108624,11.973910,8.185740
7.65,11.108624,11.973910,8.185740
7.70,11.274426,13.234323,8.557821
7.75,11.274426,13.234323,8.557821
7.80,11.108624,14.074596,8.185740
7.85,11.108624,14.074596,8.185740
7.90,12.766628,15.124939,10.046137
7.95,12.766628,15.124939,10.046137
8.00,12.932429,16.385351,10.418217
8.05,12.932429,16.385351,10.418217
8.10,12.435028,14.704803,9.301979
8.15,12.435028,14.704803,9.301979
8.20,11.771827,14.914872,9.674060
8.25,11.771827,14.914872,9.674060
8.30,13.264030,16.805489,11.162374
8.35,13.264030,16.805489,11.162374
8.40,12.435028,14.704803,9.301979
8.45,12.435028,14.704803,9.301979
8.50,11.771826,13.864528,7.813662
8.55,11.771826,13.864528,7.813662
8.60,12.435028,14.704803,9.301979
8.65,12.435028,14.704803,9.301979
8.70,13.098228,15.545076,10.790294
8.75,13.098228,15.545076,10.790294
