Data Set 7:Time(s),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
0.00,12.269227,24.998163,36.835835
0.05,12.269227,24.998163,36.835835
0.10,12.600829,25.418303,37.579998
0.15,12.600829,25.418303,37.579998
0.20,12.103427,23.737753,36.463757
0.25,12.103427,23.737753,36.463757
0.30,2.155405,3.781235,4.837029
0.35,2.155405,3.781235,4.837029
0.40,7.626817,12.814185,18.976036
0.45,7.626817,12.814185,18.976036
0.50,10.113823,20.166588,30.138412
0.55,10.113823,20.166588,30.138412
0.60,9.616422,20.586723,29.022175
0.65,9.616422,20.586723,29.022175
0.70,7.295216,16.595419,14.511086
0.75,7.295216,16.595419,14.511086
0.80,1.492203,5.041647,7.069504
0.85,1.492203,5.041647,7.069504
0.90,0.663201,0.840274,1.488317
0.95,0.663201,0.840274,1.488317
1.00,0.165800,1.260412,0.372079
1.05,0.165800,1.260412,0.372079
1.10,0.331601,0.420137,0.744158
1.15,0.331601,0.420137,0.744158
1.20,0.000000,0.630206,1.116238
1.25,0.000000,0.630206,1.116238
1.30,0.000000,0.630206,1.116238
1.35,0.000000,0.630206,1.116238
1.40,0.000000,0.630206,1.116238
1.45,0.000000,0.630206,1.116238
1.50,0.000000,0.630206,1.116238
1.55,0.000000,0.630206,1.116238
1.60,0.000000,0.630206,1.116238
1.65,0.000000,0.630206,1.116238
1.70,0.000000,0.630206,1.116238
1.75,0.000000,0.630206,1.116238
1.80,0.000000,0.630206,1.116238
1.85,0.000000,0.630206,1.116238
1.90,0.000000,0.630206,1.116238
1.95,0.000000,0.630206,1.116238
2.00,0.000000,0.630206,1.116238
2.05,0.000000,0.630206,1.116238
2.10,0.000000,0.630206,1.116238
2.15,0.000000,0.630206,1.116238
2.20,0.000000,0.630206,1.116238
2.25,0.000000,0.630206,1.116238
2.30,0.000000,0.630206,1.116238
2.35,0.000000,0.630206,1.116238
2.40,0.000000,0.630206,1.116238
2.45,0.000000,0.630206,1.116238
2.50,0.000000,0.630206,1.116238
2.55,0.000000,0.630206,1.116238
2.60,0.000000,0.630206,1.116238
2.65,0.000000,0.630206,1.116238
2.70,0.000000,0.630206,1.116238
2.75,0.000000,0.630206,1.116238
2.80,0.000000,0.630206,1.116238
2.85,0.000000,0.630206,1.116238
2.90,0.000000,0.630206,1.116238
2.95,0.000000,0.630206,1.116238
3.00,0.000000,0.630206,1.116238
3.05,0.000000,0.630206,1.116238
3.10,0.000000,0.630206,1.116238
3.15,0.000000,0.630206,1.116238
3.20,0.000000,0.630206,1.116238
3.25,0.000000,0.630206,1.116238
3.30,0.000000,0.630206,1.116238
3.35,0.000000,0.630206,1.116238
3.40,0.000000,0.630206,1.116238
3.45,0.000000,0.630206,1.116238
3.50,0.000000,0.630206,1.116238
3.55,0.000000,0.630206,1.116238
3.60,0.000000,0.630206,1.116238
3.65,0.000000,0.630206,1.116238
3.70,0.000000,0.630206,1.116238
3.75,0.000000,0.630206,1.116238
3.80,0.000000,0.630206,1.116238
3.85,0.000000,0.630206,1.116238
3.90,0.000000,0.630206,1.116238
3.95,0.000000,0.630206,1.116238
4.00,0.000000,0.630206,1.116238
4.05,0.000000,0.630206,1.116238
4.10,0.000000,0.630206,1.116238
4.15,0.000000,0.630206,1.116238
4.20,0.000000,0.630206,1.116238
4.25,0.000000,0.630206,1.116238
4.30,0.000000,0.630206,1.116238
4.35,0.000000,0.630206,1.116238
4.40,0.000000,0.630206,1.116238
4.45,0.000000,0.630206,1.116238
