Data Set 1:Time(s),Data Set 1:Illuminance(lux),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm,Data Set 2:Time(s),Data Set 2:Illuminance(lux),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm,Data Set 3:Time(s),Data Set 3:Illuminance(lux),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm,Data Set 4:Time(s),Data Set 4:Illuminance(lux),Data Set 4:615 nm,Data Set 4:525 nm,Data Set 4:465 nm,Data Set 5:Time(s),Data Set 5:Illuminance(lux),Data Set 5:615 nm,Data Set 5:525 nm,Data Set 5:465 nm,Data Set 6:Time(s),Data Set 6:Illuminance(lux),Data Set 6:615 nm,Data Set 6:525 nm,Data Set 6:465 nm,Data Set 7:Time(s),Data Set 7:Illuminance(lux),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
0.00,43.8,,,,0.00,,8.953220,8.192676,3.348713,0.00,,10.113822,7.562469,4.092870,0.00,,37.305084,34.661320,33.487125,0.00,,27.688663,36.131802,36.091682,0.00,,16.414236,32.350563,47.998211,0.00,,12.269227,24.998163,36.835835
1.00,46.9,,,,0.05,,8.953220,8.192676,3.348713,1.00,,10.942824,8.612813,4.092870,1.00,,36.973480,35.291523,34.603359,1.00,,26.030659,35.081459,34.231285,1.00,,16.082638,32.980774,49.114452,0.05,,12.269227,24.998163,36.835835
2.00,20.3,,,,0.10,,8.787420,7.982607,4.837030,2.00,,14.922033,18.906174,14.883166,2.00,,40.289490,38.442554,36.463753,2.00,,28.186062,34.661320,35.347519,2.00,,8.455819,19.116243,28.278017,0.10,,12.600829,25.418303,37.579998
3.00,21.1,,,,0.15,,8.787420,7.982607,4.837030,3.00,,48.082108,43.064064,35.347519,3.00,,15.916836,22.267273,24.557226,3.00,,12.103427,16.385351,19.720196,3.00,,0.000000,1.050343,1.860396,0.15,,12.600829,25.418303,37.579998
4.00,43.2,,,,0.20,,8.455818,7.562469,4.092870,4.00,,40.952694,45.584888,37.952076,4.00,,12.435028,16.805489,20.464354,4.00,,12.103427,16.385351,19.720196,4.00,,0.000000,0.630206,1.116238,0.20,,12.103427,23.737753,36.463757
5.00,26.3,,,,0.25,,8.455818,7.562469,4.092870,5.00,,40.289490,44.744614,36.463753,5.00,,12.766628,16.175282,19.348116,5.00,,12.435028,16.805489,20.464354,5.00,,0.000000,0.630206,1.116238,0.25,,12.103427,23.737753,36.463757
6.00,21.1,,,,0.30,,7.792617,7.772538,4.464949,6.00,,14.590433,13.234323,8.557821,6.00,,12.103427,16.385351,19.720196,6.00,,12.766628,16.175282,19.348116,6.00,,0.000000,0.630206,1.116238,0.30,,2.155405,3.781235,4.837029
7.00,28.2,,,,0.35,,7.792617,7.772538,4.464949,7.00,,15.087834,13.864529,7.813664,7.00,,12.435028,16.805489,20.464354,7.00,,12.103427,16.385351,19.720196,7.00,,0.165800,0.210069,2.232475,0.35,,2.155405,3.781235,4.837029
8.00,63.0,,,,0.40,,8.787420,7.982607,4.837030,8.00,,15.087834,13.864529,7.813664,8.00,,12.103427,16.385351,19.720196,8.00,,13.098228,16.595419,20.092274,8.00,,0.000000,0.420137,6.325346,0.40,,7.626817,12.814185,18.976036
9.00,63.4,,,,0.45,,8.787420,7.982607,4.837030,9.00,,12.932429,19.536381,15.999405,9.00,,12.103427,16.385351,19.720196,9.00,,12.932429,16.385351,21.580591,9.00,,0.000000,1.260412,11.534453,0.45,,7.626817,12.814185,18.976036
